x[16] y[16] zx nx zy ny f no ruedi[16]
1111011000100001 1101000100000000 1 0 1 0 1 0 0000000000000000
1111101100101001 1011100111110111 1 0 1 0 1 0 0000000000000000
0111010100111100 1010001100000010 1 0 1 0 1 0 0000000000000000
1011101110000100 1011000100111100 1 0 1 0 1 0 0000000000000000
1010010001011000 0001101111001001 1 0 1 0 1 0 0000000000000000
0111011111111100 0000110111000101 1 0 1 0 1 0 0000000000000000
1001111010111000 0000000010011001 1 0 1 0 1 0 0000000000000000
0101110011011100 0000000111000101 1 0 1 0 1 0 0000000000000000
0101001010100101 1001100110111100 1 0 1 0 1 0 0000000000000000
0011000001010011 1010101100110110 1 0 1 0 1 0 0000000000000000
0111000111001011 0011111000100111 1 0 1 0 1 0 0000000000000000
0011111110001110 1001010000000100 1 0 1 0 1 0 0000000000000000
0000010011000101 0001101111001010 1 0 1 0 1 0 0000000000000000
1101100111010001 1000000101101100 1 0 1 0 1 0 0000000000000000
1011000100101000 0001000100100111 1 0 1 0 1 0 0000000000000000
1110110000110100 0111100011001011 1 0 1 0 1 0 0000000000000000
1011001010010111 1010111101010011 1 0 1 0 1 0 0000000000000000
1110000111110100 0001001111111100 1 0 1 0 1 0 0000000000000000
0010111100101110 0111001111110110 1 0 1 0 1 0 0000000000000000
1010111000110000 1001001011001011 1 0 1 0 1 0 0000000000000000
0011110111111110 1000100100000001 1 0 1 0 1 0 0000000000000000
1000101111010100 1001101110010100 1 0 1 0 1 0 0000000000000000
0100110101100001 1010110101001100 1 0 1 0 1 0 0000000000000000
0011001010111001 0111101010000011 1 0 1 0 1 0 0000000000000000
1000111011010111 1100111000010000 1 0 1 0 1 0 0000000000000000
0101110100101000 0111111111010000 1 0 1 0 1 0 0000000000000000
0101011011001011 1100001100110101 1 0 1 0 1 0 0000000000000000
0110001101010010 1010111011011010 1 0 1 0 1 0 0000000000000000
0110101000001111 1101110000100100 1 0 1 0 1 0 0000000000000000
1101010000110111 1100101100001101 1 0 1 0 1 0 0000000000000000
1110001101000110 0101001010101101 1 0 1 0 1 0 0000000000000000
1111001011110011 0110010010000011 1 0 1 0 1 0 0000000000000000
0000010111010110 0110111010100010 1 0 1 0 1 0 0000000000000000
1001001010001111 1101011111110010 1 0 1 0 1 0 0000000000000000
1110011001101011 0101110111100101 1 0 1 0 1 0 0000000000000000
0110110000001101 1001100101000001 1 0 1 0 1 0 0000000000000000
0111111011111111 0100110111110001 1 0 1 0 1 0 0000000000000000
0111101100111110 0110100101010010 1 0 1 0 1 0 0000000000000000
0110111000001100 1011011100101101 1 0 1 0 1 0 0000000000000000
0010010011110010 1100000001011110 1 0 1 0 1 0 0000000000000000
1101101010010000 1100111000110111 1 0 1 0 1 0 0000000000000000
1011010001011010 0011110101011000 1 0 1 0 1 0 0000000000000000
1000101010111100 1001000111001011 1 0 1 0 1 0 0000000000000000
0001001101100001 0010010011000100 1 0 1 0 1 0 0000000000000000
0110000011111000 1111001000000111 1 0 1 0 1 0 0000000000000000
0100101001000010 1001011011110011 1 0 1 0 1 0 0000000000000000
0000101000000000 1110010011000001 1 1 1 1 1 1 0000000000000001
1001001110001100 1110011100111100 1 1 1 1 1 1 0000000000000001
0110000010101011 0101111000101011 1 1 1 1 1 1 0000000000000001
1111110101001010 1100111000001100 1 1 1 1 1 1 0000000000000001
1000110011000010 1110111011111111 1 1 1 1 1 1 0000000000000001
0000010001111000 0110010100000010 1 1 1 1 1 1 0000000000000001
1100000001110100 1100011111110000 1 1 1 1 1 1 0000000000000001
0000001110000110 0011100000111100 1 1 1 1 1 1 0000000000000001
0110101100000000 0001001011100000 1 1 1 1 1 1 0000000000000001
0001100001101001 0011011000111111 1 1 1 1 1 1 0000000000000001
1001011011001001 0001100101011101 1 1 1 1 1 1 0000000000000001
1111101101100010 1101001100011000 1 1 1 1 1 1 0000000000000001
0010100111000001 0000010000001101 1 1 1 1 1 1 0000000000000001
0011010000111000 0000111001101001 1 1 1 1 1 1 0000000000000001
0100111110111100 0011100101101110 1 1 1 1 1 1 0000000000000001
0100011000011111 0100011110110101 1 1 1 1 1 1 0000000000000001
0001111001000101 0011101111101101 1 1 1 1 1 1 0000000000000001
1000101111110100 0101100111000011 1 1 1 1 1 1 0000000000000001
1000101110100100 1001000011101100 1 1 1 1 1 1 0000000000000001
0001101110001101 1110001010001110 1 1 1 1 1 1 0000000000000001
1101010110111010 1000111001100110 1 1 1 1 1 1 0000000000000001
0101110100111001 0111011010001110 1 1 1 1 1 1 0000000000000001
1010101100000100 1010001011011010 1 1 1 1 1 1 0000000000000001
1100000010100100 0100010010110100 1 1 1 1 1 1 0000000000000001
1110100110111000 1001010111001111 1 1 1 1 1 1 0000000000000001
1100101110001010 1110111000100010 1 1 1 1 1 1 0000000000000001
1101101101110111 1000010101010101 1 1 1 1 1 1 0000000000000001
0000111001111111 1111110010001001 1 1 1 1 1 1 0000000000000001
1010010001011110 0110001010000000 1 1 1 1 1 1 0000000000000001
0010001011010111 0110011110001111 1 1 1 1 1 1 0000000000000001
0111110000111110 1111011000110111 1 1 1 1 1 1 0000000000000001
0000101011101000 0101111011000101 1 1 1 1 1 1 0000000000000001
1100011010100101 0010111101111100 1 1 1 1 1 1 0000000000000001
1011001000011011 1011100111010001 1 1 1 1 1 1 0000000000000001
0011110000001101 0111101000101000 1 1 1 1 1 1 0000000000000001
0010111111010011 1100011110101111 1 1 1 1 1 1 0000000000000001
1110100001000111 1001001110110011 1 1 1 1 1 1 0000000000000001
0000110000001000 1100111100100000 1 1 1 1 1 1 0000000000000001
1000000010010101 0000010110000111 1 1 1 1 1 1 0000000000000001
0111001000110001 1011000000101010 1 1 1 1 1 1 0000000000000001
0110101011100101 0011011001001000 1 1 1 1 1 1 0000000000000001
1010001000111000 1100000010100011 1 1 1 1 1 1 0000000000000001
1000110100110010 0110111110110100 1 1 1 1 1 1 0000000000000001
1001000001110000 0101010110101101 1 1 1 1 1 1 0000000000000001
1011110101011001 0000100100111011 1 1 1 1 1 1 0000000000000001
1011110001011100 1011000110001011 1 1 1 1 1 1 0000000000000001
1010001110101011 1000001011101010 1 1 1 1 1 1 0000000000000001
0001101101011100 1001000001101011 1 1 1 1 1 1 0000000000000001
1111001110110101 0111101011001101 1 1 1 1 1 1 0000000000000001
1101110101011101 1111100011101011 1 1 1 1 1 1 0000000000000001
1111001011111011 0000101101011001 1 1 1 1 1 1 0000000000000001
0001111010010010 0010110001001010 1 1 1 1 1 1 0000000000000001
0100001101100101 0010010011010010 1 1 1 1 1 1 0000000000000001
0101100001001001 1000101110000011 1 1 1 1 1 1 0000000000000001
0000011011110110 0010000100001110 1 1 1 1 1 1 0000000000000001
1000011111010101 1110111010010011 1 1 1 1 1 1 0000000000000001
1011011011000000 1101001010000111 1 1 1 1 1 1 0000000000000001
0011110100111101 1011101001100011 1 1 1 1 1 1 0000000000000001
0010001001010011 1011111001111000 1 1 1 1 1 1 0000000000000001
0000001011101000 0001011110000011 1 1 1 1 1 1 0000000000000001
0100011101010010 0000010001000110 1 1 1 1 1 1 0000000000000001
1010001000000100 1111101101111100 1 1 1 1 1 1 0000000000000001
0001110111010010 0101000010011001 1 1 1 1 1 1 0000000000000001
1110100011111100 1000011100000111 1 1 1 1 1 1 0000000000000001
0110110101000001 0011000100111110 1 1 1 1 1 1 0000000000000001
1110110100011000 0010001010000110 1 1 1 1 1 1 0000000000000001
1101110110101000 0100001000110100 1 1 1 1 1 1 0000000000000001
1011001010000001 0000100111010001 1 1 1 1 1 1 0000000000000001
1010110010101010 0010101111110001 1 1 1 1 1 1 0000000000000001
0001010010010101 1100101011100111 1 1 1 1 1 1 0000000000000001
1010011011011101 1110100101011101 1 1 1 1 1 1 0000000000000001
0010111000011100 0000111101100011 1 1 1 1 1 1 0000000000000001
0110111001010010 1101011011011001 1 1 1 1 1 1 0000000000000001
1111001010100010 1001011001110011 1 1 1 1 1 1 0000000000000001
0110100111011101 1101001011110010 1 1 1 1 1 1 0000000000000001
0011000111000011 1010000000101110 1 1 1 1 1 1 0000000000000001
0111011011000001 1010111000110010 1 1 1 1 1 1 0000000000000001
1000110110010110 1110101100111001 1 1 1 1 1 1 0000000000000001
1001110100001101 0000111100011000 1 1 1 1 1 1 0000000000000001
1010001000010011 0101110111100001 1 1 1 1 1 1 0000000000000001
0100110101110000 0100001011010001 1 1 1 1 1 1 0000000000000001
1010010111001000 1100001110100101 1 1 1 1 1 1 0000000000000001
1110001101011010 1101110000110111 1 1 1 1 1 1 0000000000000001
0110101000011111 0011010110111101 1 1 1 1 1 1 0000000000000001
1111101001011001 1000110100101010 1 1 1 1 1 1 0000000000000001
1111011001001001 1010011000101011 1 1 1 1 1 1 0000000000000001
0101010011100101 0111000010100111 1 1 1 1 1 1 0000000000000001
1100110111100001 0011111010111000 1 1 1 1 1 1 0000000000000001
1110100010001010 1011010011000001 1 1 1 1 1 1 0000000000000001
1000101001001101 0111101001111000 1 1 1 1 1 1 0000000000000001
1110110000100010 0111010101100110 1 1 1 1 1 1 0000000000000001
1001110100101111 1110000000111100 1 1 1 1 1 1 0000000000000001
1010100100100110 1110001110111010 1 1 1 1 1 1 0000000000000001
0001110110111110 1011011111100000 1 1 1 1 1 1 0000000000000001
1111101110101111 1111101000101110 1 1 1 1 1 1 0000000000000001
0001101101000000 0010010110010110 1 1 1 1 1 1 0000000000000001
0011110111011000 0011001101101100 1 1 1 1 1 1 0000000000000001
0001000000111111 1000001010010111 1 1 1 1 1 1 0000000000000001
1000101001001010 0101000000010100 1 1 1 1 1 1 0000000000000001
1000100111110101 1111010001100110 1 1 1 1 1 1 0000000000000001
1000000100101011 1010100100110001 1 1 1 0 1 0 1111111111111111
0000010001001010 1111011011010101 1 1 1 0 1 0 1111111111111111
1100111000101011 0111100100101101 1 1 1 0 1 0 1111111111111111
0000110101111110 1101001110111101 1 1 1 0 1 0 1111111111111111
1110011110000110 0001111010010111 1 1 1 0 1 0 1111111111111111
0101111010010100 0101010111110011 1 1 1 0 1 0 1111111111111111
0110000100001011 1011001111100011 1 1 1 0 1 0 1111111111111111
0010001011100110 0110011000100101 1 1 1 0 1 0 1111111111111111
1011101010001111 1100101110110111 1 1 1 0 1 0 1111111111111111
1100101100111011 1001101011011111 1 1 1 0 1 0 1111111111111111
1101101111010101 1010100101111011 1 1 1 0 1 0 1111111111111111
1011001011001000 1001000010001110 1 1 1 0 1 0 1111111111111111
0000111101101000 0000100110011011 1 1 1 0 1 0 1111111111111111
0101110101100010 1110010111000111 1 1 1 0 1 0 1111111111111111
0000111110011101 1100000010001100 1 1 1 0 1 0 1111111111111111
1001011010001011 0010010001100010 1 1 1 0 1 0 1111111111111111
1100111010111100 0001101001111110 1 1 1 0 1 0 1111111111111111
1001110100110101 1010010101110110 1 1 1 0 1 0 1111111111111111
1001000111011101 1001010110001100 1 1 1 0 1 0 1111111111111111
1110001111111001 1101110000010100 1 1 1 0 1 0 1111111111111111
0010111000110101 0011110010001000 1 1 1 0 1 0 1111111111111111
1000110010110110 1111110001010110 1 1 1 0 1 0 1111111111111111
1111100100100001 0100111100101000 1 1 1 0 1 0 1111111111111111
1111001111110110 0101010000100100 1 1 1 0 1 0 1111111111111111
1010010011000100 1111101011110010 1 1 1 0 1 0 1111111111111111
1110010001100011 0111111110111011 1 1 1 0 1 0 1111111111111111
0111111110010011 1001001000100111 1 1 1 0 1 0 1111111111111111
0010000110010000 0111011010101110 1 1 1 0 1 0 1111111111111111
1101010110111101 0101100010111011 1 1 1 0 1 0 1111111111111111
0110101111100101 1011001101010111 1 1 1 0 1 0 1111111111111111
0001010010001011 0000010101000000 1 1 1 0 1 0 1111111111111111
0010011000110111 0001100001110110 1 1 1 0 1 0 1111111111111111
1100101011001010 1100111100000101 1 1 1 0 1 0 1111111111111111
1011001100001011 1011010101101011 1 1 1 0 1 0 1111111111111111
1111000010001011 1011101000011011 1 1 1 0 1 0 1111111111111111
0000000010010110 0001001101001000 1 1 1 0 1 0 1111111111111111
0110111111000111 1111001110111110 1 1 1 0 1 0 1111111111111111
1110000110111110 1010010111100100 1 1 1 0 1 0 1111111111111111
1010011110011101 1000000110111101 1 1 1 0 1 0 1111111111111111
1001110001000010 0101101110101101 1 1 1 0 1 0 1111111111111111
1001010010000111 1000101110111011 1 1 1 0 1 0 1111111111111111
0101001101000101 1010110100001110 1 1 1 0 1 0 1111111111111111
0000011100101100 1001000001101001 1 1 1 0 1 0 1111111111111111
1010011000000110 0111101101111101 1 1 1 0 1 0 1111111111111111
0110110011111011 1010101111110110 1 1 1 0 1 0 1111111111111111
1101011100100000 0011001010110001 1 1 1 0 1 0 1111111111111111
1101110011110100 1110001000010000 1 1 1 0 1 0 1111111111111111
1011100000000010 1110011000001011 1 1 1 0 1 0 1111111111111111
0100011000011010 1100000110101000 1 1 1 0 1 0 1111111111111111
1001000101010000 1011011100000000 1 1 1 0 1 0 1111111111111111
0101110010000010 1100011110000001 1 1 1 0 1 0 1111111111111111
1100110011111101 1111011111010011 1 1 1 0 1 0 1111111111111111
1011111101111111 1001101000110000 1 1 1 0 1 0 1111111111111111
1100010100110010 0111001110000100 1 1 1 0 1 0 1111111111111111
0100001011011001 0101100111101101 1 1 1 0 1 0 1111111111111111
0100000111110111 0001011001010110 1 1 1 0 1 0 1111111111111111
1010010101010001 1001000101101011 1 1 1 0 1 0 1111111111111111
1100010110111011 0011010110100100 1 1 1 0 1 0 1111111111111111
1101001100110101 1101110111001111 1 1 1 0 1 0 1111111111111111
1001100110101000 1010111110010101 1 1 1 0 1 0 1111111111111111
0101111110011000 1001010000011110 1 1 1 0 1 0 1111111111111111
1000010000101011 1000111011101110 1 1 1 0 1 0 1111111111111111
0111111101110001 1111111101100101 1 1 1 0 1 0 1111111111111111
1000000011110111 0010000100011000 1 1 1 0 1 0 1111111111111111
1101110000111101 0100110100001111 1 1 1 0 1 0 1111111111111111
1010110011011101 0000000000010010 1 1 1 0 1 0 1111111111111111
0000101100110110 0110100100111110 1 1 1 0 1 0 1111111111111111
0000101001110000 0101001111010000 1 1 1 0 1 0 1111111111111111
1001011000000011 1110100010001001 1 1 1 0 1 0 1111111111111111
1100000110010010 1101010000111001 1 1 1 0 1 0 1111111111111111
0001101110101111 0111111010000111 1 1 1 0 1 0 1111111111111111
1000101001000011 0101100101100100 1 1 1 0 1 0 1111111111111111
0100110011101111 0001010111000100 1 1 1 0 1 0 1111111111111111
1000010000100111 1000010011111111 1 1 1 0 1 0 1111111111111111
0010101100101001 1101011010110010 1 1 1 0 1 0 1111111111111111
1011011000000111 1000001100101011 1 1 1 0 1 0 1111111111111111
0111111100000110 0100010111110111 1 1 1 0 1 0 1111111111111111
1100100011100100 0011110100000010 1 1 1 0 1 0 1111111111111111
1001010001100110 0001100111111101 1 1 1 0 1 0 1111111111111111
0101101100100110 1110110010100101 1 1 1 0 1 0 1111111111111111
1001101101100011 0100111111110110 1 1 1 0 1 0 1111111111111111
0011011011010001 1111111001010100 1 1 1 0 1 0 1111111111111111
0001100011011011 0011010001010000 1 1 1 0 1 0 1111111111111111
0001000001001101 0001110111000010 1 1 1 0 1 0 1111111111111111
1111001111101001 1000010010111110 1 1 1 0 1 0 1111111111111111
0000100001100000 1001110010010010 1 1 1 0 1 0 1111111111111111
1110010100001001 1110101010101010 1 1 1 0 1 0 1111111111111111
1010100101101010 1101001100000010 1 1 1 0 1 0 1111111111111111
0010001010100111 1011100001111011 1 1 1 0 1 0 1111111111111111
0011010010011110 0101001110001100 1 1 1 0 1 0 1111111111111111
1101101100110000 1000100100011111 1 1 1 0 1 0 1111111111111111
0101110000010011 1000001011010111 1 1 1 0 1 0 1111111111111111
0011000111110100 0011001111011001 1 1 1 0 1 0 1111111111111111
1001111110110100 0011010100111001 1 1 1 0 1 0 1111111111111111
1010110011010011 0011111101100010 1 1 1 0 1 0 1111111111111111
0001000011000001 1101110111100111 1 1 1 0 1 0 1111111111111111
0100111011011111 0010101110100001 1 1 1 0 1 0 1111111111111111
0001001000001100 0001111001110111 1 1 1 0 1 0 1111111111111111
1000000000010011 0000100000110001 1 1 1 0 1 0 1111111111111111
0001100111110111 0111110111101001 1 1 1 0 1 0 1111111111111111
1011010000001111 1001010000101010 0 0 1 1 0 0 1011010000001111
0001010010010011 0000110000100100 0 0 1 1 0 0 0001010010010011
1110100000111111 1011011011001000 0 0 1 1 0 0 1110100000111111
0100100000010000 1100100110011001 0 0 1 1 0 0 0100100000010000
0011010100100001 0100001011000011 0 0 1 1 0 0 0011010100100001
0100011101010011 1011111001011011 0 0 1 1 0 0 0100011101010011
1111001001001001 0001010101001001 0 0 1 1 0 0 1111001001001001
1000101001101111 0101100110000100 0 0 1 1 0 0 1000101001101111
1010010011000111 1010000111101000 0 0 1 1 0 0 1010010011000111
0000110000100110 0101010100011011 0 0 1 1 0 0 0000110000100110
1001011010100001 0000011110011111 0 0 1 1 0 0 1001011010100001
1110111100011010 1001111011001000 0 0 1 1 0 0 1110111100011010
1001000101110000 1111010010100110 0 0 1 1 0 0 1001000101110000
0000110101110100 0010011011010100 0 0 1 1 0 0 0000110101110100
0011101000011100 0110111110110110 0 0 1 1 0 0 0011101000011100
1001010111100000 0011110000001010 0 0 1 1 0 0 1001010111100000
1011101111010000 1001100100101101 0 0 1 1 0 0 1011101111010000
0010010011010000 1100000110011000 0 0 1 1 0 0 0010010011010000
1111000100111011 1110000100100110 0 0 1 1 0 0 1111000100111011
1110010000111000 0000100101010000 0 0 1 1 0 0 1110010000111000
1111100111010111 1000110100011100 0 0 1 1 0 0 1111100111010111
0001000010000101 1101010000100000 0 0 1 1 0 0 0001000010000101
0001000011010100 0001001011010000 0 0 1 1 0 0 0001000011010100
1001100110000110 0001100110001001 0 0 1 1 0 0 1001100110000110
1001011010111100 1111100110100001 0 0 1 1 0 0 1001011010111100
0000111101011101 0101011100110000 0 0 1 1 0 0 0000111101011101
0010110110101010 0110001011000010 0 0 1 1 0 0 0010110110101010
0011101101001100 0010000100011111 0 0 1 1 0 0 0011101101001100
1101010100011110 0110110000110101 0 0 1 1 0 0 1101010100011110
1110111101000000 0110100110110000 0 0 1 1 0 0 1110111101000000
0001000100011011 1101111101111100 0 0 1 1 0 0 0001000100011011
0000111010001101 1101010101100010 0 0 1 1 0 0 0000111010001101
1101010010011111 1111101011010110 0 0 1 1 0 0 1101010010011111
0011101111111101 0000101101101011 0 0 1 1 0 0 0011101111111101
1010010000010011 1101110001100110 0 0 1 1 0 0 1010010000010011
0110101111010001 0111111001100101 0 0 1 1 0 0 0110101111010001
1010001110011000 1001100000000111 0 0 1 1 0 0 1010001110011000
0011001010110111 0111001001101010 0 0 1 1 0 0 0011001010110111
0000100110000111 0101101000111000 0 0 1 1 0 0 0000100110000111
0000101001100010 1101000101000011 0 0 1 1 0 0 0000101001100010
1001001010100100 0100000001001001 0 0 1 1 0 0 1001001010100100
0101010100010110 1100011111110010 0 0 1 1 0 0 0101010100010110
1110001000110101 1000000110010000 0 0 1 1 0 0 1110001000110101
0111010100100100 0100100010110101 0 0 1 1 0 0 0111010100100100
1100101111001110 1101000111101110 0 0 1 1 0 0 1100101111001110
0000000110110101 0001111011111001 0 0 1 1 0 0 0000000110110101
1110111110111010 0011100011010101 0 0 1 1 0 0 1110111110111010
0001101011001110 0000010110100101 0 0 1 1 0 0 0001101011001110
1101000101010100 1100111110000111 0 0 1 1 0 0 1101000101010100
1110110110010110 1100000100000111 0 0 1 1 0 0 1110110110010110
0011100111000000 0101111101110000 0 0 1 1 0 0 0011100111000000
1100001011001001 0110011000000101 0 0 1 1 0 0 1100001011001001
1001010000101101 0101100111100100 0 0 1 1 0 0 1001010000101101
0100111001011101 0010111011101101 0 0 1 1 0 0 0100111001011101
0011110100101010 1000111101101101 0 0 1 1 0 0 0011110100101010
0100000101000010 0100010111011010 0 0 1 1 0 0 0100000101000010
0101010010001000 0000101111111010 0 0 1 1 0 0 0101010010001000
0110111110111101 1000000010000111 0 0 1 1 0 0 0110111110111101
0101101110001011 0110101001001000 0 0 1 1 0 0 0101101110001011
1111000100001111 0011110110111001 0 0 1 1 0 0 1111000100001111
0111111111011000 0000000101101111 0 0 1 1 0 0 0111111111011000
0101011101001011 1100001100001100 0 0 1 1 0 0 0101011101001011
0111101000000101 0100110111010010 0 0 1 1 0 0 0111101000000101
0011011100000010 1011010101101110 0 0 1 1 0 0 0011011100000010
1000010101110011 1000111101010110 0 0 1 1 0 0 1000010101110011
1001111000010101 0000001100110011 0 0 1 1 0 0 1001111000010101
1101001110110010 0010110100101100 0 0 1 1 0 0 1101001110110010
0011110100000100 0100010010100101 0 0 1 1 0 0 0011110100000100
1001110100101111 1010000100000011 0 0 1 1 0 0 1001110100101111
1100010000101011 1100111001000000 0 0 1 1 0 0 1100010000101011
0001111011111011 1110100101010110 0 0 1 1 0 0 0001111011111011
1100000000011010 1101111100001001 0 0 1 1 0 0 1100000000011010
1001110011000011 1010000001101010 0 0 1 1 0 0 1001110011000011
0001101010111001 0110000000010010 0 0 1 1 0 0 0001101010111001
1011100110010110 0001110010000100 0 0 1 1 0 0 1011100110010110
1001011011110000 0000011100001011 0 0 1 1 0 0 1001011011110000
0001110001111100 0011101010111001 0 0 1 1 0 0 0001110001111100
1010011100101100 0111101000011101 0 0 1 1 0 0 1010011100101100
0011001001010110 1010100000110011 0 0 1 1 0 0 0011001001010110
0001010100110100 0001100010100100 0 0 1 1 0 0 0001010100110100
0111101101010000 0110111110100111 0 0 1 1 0 0 0111101101010000
0000100101100100 1000100110111010 0 0 1 1 0 0 0000100101100100
0110110010111110 1101111110111000 0 0 1 1 0 0 0110110010111110
0001101010001101 0101001010001011 0 0 1 1 0 0 0001101010001101
0010111110100111 0010010100100001 0 0 1 1 0 0 0010111110100111
0100101010110010 0011101011011100 0 0 1 1 0 0 0100101010110010
1110001000011001 1000110110011011 0 0 1 1 0 0 1110001000011001
1110110100000100 0110100010111111 0 0 1 1 0 0 1110110100000100
1100011000000111 0100011100011011 0 0 1 1 0 0 1100011000000111
1011100001110111 0001010111111000 0 0 1 1 0 0 1011100001110111
0000000110111011 0001000001010110 0 0 1 1 0 0 0000000110111011
1000001101011110 0000001010001110 0 0 1 1 0 0 1000001101011110
0001110010101000 0000110010100010 0 0 1 1 0 0 0001110010101000
0110100001101110 1110011111110101 0 0 1 1 0 0 0110100001101110
0011000011110110 0100000010110001 0 0 1 1 0 0 0011000011110110
1010000010000010 0100100001101111 0 0 1 1 0 0 1010000010000010
1111010001011111 0101111111001110 0 0 1 1 0 0 1111010001011111
1111110011111010 1000010100100010 0 0 1 1 0 0 1111110011111010
1001110111101011 1100100110010101 0 0 1 1 0 0 1001110111101011
1110101101110001 1100100001100010 0 0 1 1 0 0 1110101101110001
0101000000011001 1010001101000101 1 1 0 0 0 0 1010001101000101
1110100010011100 0111010101011001 1 1 0 0 0 0 0111010101011001
0001001000000011 1010111101000001 1 1 0 0 0 0 1010111101000001
0001100111010101 1011111011111001 1 1 0 0 0 0 1011111011111001
1110110011100001 1110111001000011 1 1 0 0 0 0 1110111001000011
0011110011110101 1001011010100011 1 1 0 0 0 0 1001011010100011
0000001100100010 1101111101000010 1 1 0 0 0 0 1101111101000010
1101011001100100 0010111011011010 1 1 0 0 0 0 0010111011011010
1111001110111101 0110110000111111 1 1 0 0 0 0 0110110000111111
1001110011001010 1110011000101111 1 1 0 0 0 0 1110011000101111
0000000100011110 1001101110100011 1 1 0 0 0 0 1001101110100011
1000111001010011 0000010010101000 1 1 0 0 0 0 0000010010101000
0001000011011101 1110110011011000 1 1 0 0 0 0 1110110011011000
0000111101011110 1001011111011010 1 1 0 0 0 0 1001011111011010
1010010001110000 0100000110001010 1 1 0 0 0 0 0100000110001010
0011001101100100 0101010110100011 1 1 0 0 0 0 0101010110100011
0010110010100111 0001100010011001 1 1 0 0 0 0 0001100010011001
1100111010000011 1100101110111101 1 1 0 0 0 0 1100101110111101
0101011001001111 1110100101011001 1 1 0 0 0 0 1110100101011001
0101011011110110 1110011111000000 1 1 0 0 0 0 1110011111000000
0101010110001011 1101101110111011 1 1 0 0 0 0 1101101110111011
1001000001100110 1001011101000110 1 1 0 0 0 0 1001011101000110
